Utility,Contaminant_Factor,Zip,county_FIPS
Vineyard Ave. Estates Mutual Water Company,2416,93036,6111
Vineyard Avenue Acres Mutual Water Company,401,93036,6111
Cloverdale Mutual Water Company,804,93036,6111
Rio Manor Mutual Water Company,540,93036,6111
Garden Acres Mutual Water Company,176,93036,6111
Strickland Acres,430,93036,6111
U.s.n. San Nicolas Island,1673,93042,6111
Middle Road Mutual Water Company,388,93060,6111
Community Mutual Water Company,55,93060,6111
Limoneira Ranch #1,366,93060,6111
Solano Verde Mutual Water Company,1146,93060,6111
Saticoy Country Club-city Of Ventura,1237,93066,6111
Goleta Water District,1883,93101,6083
Las Positas Mutual Water Company,4,93105,6083
Cachuma Village,1,93105,6083
San Marcos Mutual Water Company,82,93105,6083
Rosario Park Water System,0,93105,6083
Los Prietos Complex,269,93105,6083
La Cumbre Mutual Water Company,875,93105,6083
Santa Maria Water Department,983,93106,6083
City of Santa Barbara Water Department,1868,93106,6083
Lompoc Water Utility Division,960,93106,6083
Guadalupe Water Department,384,93106,6083
Vandenberg Air Force Base,2073,93106,6083
Santa Ynez River Water Cons. District Id #1,893,93106,6083
Montecito Sea Meadow Mutual Water Company,8,93108,6083
Lingate Mutual Water Company,38,93108,6083
San Vicente Water Company,103,93110,6083
Lincolnwood Mutual Water,90,93110,6083
Vieja Mutual Water Company,32,93110,6083
El Capitan Mutual Water Company,104,93117,6083
Santa Anita Mutual Water Company,3,93117,6083
San Augustine Mutual Water Company,4,93117,6083
Ellwood Mutual Water Company,3,93117,6083
Buellton Water Department,246,93117,6083
Lamont Public Utility District,2544,93203,6029
Tut Brothers Farm #96,185,93203,6029
Stallion Springs Community Services District,1711,93203,6029
Lake Isabella Community Services District,2232,93205,6029
Cws - Upper Bodfish Water System,3316,93205,6029
Cws - Lower Bodfish Water System,1689,93205,6029
Kern Valley Mutual Water Company,9,93205,6029
Cypress Canyon Water System,864,93205,6029
West Kern Water District,1178,93206,6029
Buttonwillow County Water District,1220,93206,6029
Mirasol Company Water System,2038,93206,6029
Camp Nelson Water Company,1826,93208,6107
Grier Mutual Water Company,65,93208,6107
Pierpoint Springs Water Company,775,93208,6107
Harris Feeding Company,2483,93210,6019
Harris Farms/horse Barn,2259,93210,6019
Harris Farms Headquarters,2322,93210,6019
Britz/colusa,1457,93210,6019
Kern Valley State Prison,3859,93215,6029
Richgrove Community Services District,1907,93215,6029
Agbayani Village Water System,2068,93215,6029
Ducor Community Services District,14,93218,6107
Allensworth Community Services District,2769,93219,6107
Teviston Community Services District,1485,93219,6107
Badger Hill Estates,836,93221,6107
Yokohl Mutual Water Company,444,93221,6107
Tooleville Mutual Non Profit Water Association,634,93221,6107
Aera Energy LLC,1861,93224,6029
Frazier Park Public Utility District,319,93225,6111
Mil Potrero Mutual Water Company,1548,93225,6111
Son Shine Properties,2389,93226,6029
City of Tulare,1368,93227,6107
City of Porterville,191,93227,6107
City of Dinuba,320,93227,6107
City of Lindsay,2478,93227,6107
City of Exeter,441,93227,6107
Orosi Public Utility District,471,93227,6107
Earlimart Public Utility District,1438,93227,6107
Woodlake City Of,397,93227,6107
Armona Community Services District,2187,93230,6031
Home Garden Community Services District,2479,93230,6031
Hardwick Water Group,60,93230,6031
Laton Community Services District,54,93230,6031
Azcal Management Company,846,93234,6019
Frontier Trail Homeowners Association Inc.,240,93238,6107
Camp Owen Water System,641,93238,6107
Burlando Heights Mutual Water Company,682,93238,6107
Sierra Meadows,9,93238,6107
Cws Southlake Squirrel Valley System,1095,93240,6029
Mountain Mesa Water Company,1985,93240,6029
Cws - Lakeland,1794,93240,6029
Clark Street Community Well,2083,93240,6029
Zonneveld Dairy,2476,93242,6019
Lebec County Water District,212,93243,6029
Krista Mutual Water Company,1146,93243,6029
City of Lemoore,5471,93245,6031
Stratford Public Utility District,601,93245,6031
Chardells,450,93245,6031
City of Avenal,2257,93246,6031
City of Corcoran,2479,93246,6031
City of Hanford,2142,93246,6031
Kettleman City Community Services District,3510,93246,6031
Lemoore Naval Air Station,3209,93246,6031
Lost Hills Utility District,2762,93247,6107
Lsid - Tonyville,2957,93247,6107
City of Delano,824,93250,6029
Cuyama Mutual Water Company,30,93254,6083
Rainbird Valley Mutual Water Company,441,93255,6029
Terra Bella Irrigation District - Tbt,2556,93257,6107
Porterville Developmental Center,468,93257,6107
Poplar Community Service District,135,93257,6107
Woodville Farm Labor Center,97,93257,6107
Woodville Public Utility District,178,93257,6107
Williams Mutual Water Company,21,93257,6107
Porterville-jones Corner,78,93257,6107
Cws - Mullen Water Company,202,93257,6107
Del Oro Grandview Gardens District,559,93257,6107
Central Mutual Water Company,86,93257,6107
Akin Water Company,46,93257,6107
Beverly Grand Mutual Water,222,93257,6107
Mountain View Duplexes,0,93257,6107
Lake Success Mobile Lodge,530,93257,6107
Dixon Water Company,42,93257,6107
Del Oro East Plano District,177,93257,6107
Del Oro River Island Serv Terr #1,2218,93257,6107
Shady Grove Mobile Home Park,364,93257,6107
Foothill Apartments,62,93257,6107
Rodriguez Labor Camp,282,93261,6107
Oildale MWC,2121,93263,6029
Llanas Camp Four Water System,942,93263,6029
Triple R Mutual Water Company,1274,93265,6107
Springville Public Utility District,1012,93265,6107
Sequoia Crest Water Company,0,93265,6107
Lsid-strathmore System,1965,93267,6107
Plainview Mutual Water Company,2212,93267,6107
South Kaweah Mutual Water Company,2557,93271,6107
No Kaweah Mutual Water Company,931,93271,6107
South Fork Estates Mutual Water Company,405,93271,6107
Sierra King Homeowners Association,1789,93271,6107
Nps-grant Grove,280,93271,6107
East Three Rivers Mutual,3111,93271,6107
Deer Meadow Mutual,142,93271,6107
River Retreat Mutual,168,93271,6107
Cws - Tulco Water Company,425,93274,6107
Soults Mutual Water Company,238,93274,6107
Ali Mutual Water Company,831,93274,6107
Wasco St. Prison Reception Center,1216,93280,6029
Pond Mutual Water Company,933,93280,6029
Lakeview Ranchos Mutual Water Company,3755,93283,6029
Alta Sierra Mutual Water Company,80,93285,6029
Hungry Gulch Water System,4333,93285,6029
Oak Knolls Mutual Water Company,634,93285,6029
Lemon Cove Water Company,238,93286,6107
California Water Service (CWS) - Bakersfield,44851,93287,6029
City of Bakersfield,1224,93287,6029
Vaughn WC Inc,559,93287,6029
Indian Wells Valley WD,433,93287,6029
East Niles CSD,3424,93287,6029
City of Wasco,914,93287,6029
Patterson Tract Community Services District,622,93291,6107
The Lakes Association,189,93291,6107
Sunrise Mutual Water Company,567,93291,6107
Yettem Water System,749,93292,6107
Seville Water Company,753,93292,6107
Ivanhoe Public Utility District,257,93292,6107
Linnell Farm Labor Center,25,93292,6107
Bedel Mutual Water Company,69,93292,6107
The Anne Sippi Clinic-riverside Ranch,1268,93306,6029
Greenfield County Water District,2492,93307,6029
Casa Loma Water Co Inc.,1228,93307,6029
El Adobe Property Owners Association Inc.,3712,93307,6029
Oasis Property Owners Association,2795,93307,6029
San Joaquin Estates Mutual Water Company,2254,93307,6029
East Wilson Road Water Company,2945,93307,6029
Fuller Acres Mutual Water Company,2158,93307,6029
Victory Mutual Water Company,1796,93307,6029
Panama Road Property Owners Assoc,2063,93307,6029
Wini Mutual Water Company,1639,93307,6029
Athal Mutual Water System,2003,93307,6029
Riverview Homeowners Association,13,93308,6029
Lerdo Sheriff S Facility,647,93308,6029
Ranchos Del Rio,1,93308,6029
City of Shafter,1649,93308,6029
Choctaw Valley Mutual Water Company,129,93308,6029
Uplands Of The Kern Mutual Water Company,38,93308,6029
Riverdale Village,43,93308,6029
Kimberlina Housing Unit,58,93308,6029
Stockdale Annex Mutual Water,14,93309,6029
Stockdale Mutual Water Company,18,93309,6029
Old River Mutual Water Company,193,93311,6029
South Kern Mutual Water Company,288,93311,6029
Maher Mutual Water Company,4925,93312,6029
Brock Mutual Water Company,1827,93312,6029
Allen Road Mutual Water System,81,93312,6029
Opal Fry and Son,1634,93313,6029
Gosford Road Water Company,1697,93313,6029
De Rancho Y Mobile Villa Water,27,93313,6029
Harvest Moon Mutual Water Company,102,93314,6029
Enos Lane Public Utility District,1792,93314,6029
Stockdale Ranchos Mutual Water Company,93,93314,6029
St. Clair Ranchos Mutual Water Company,88,93314,6029
Gooselake Water Company,244,93314,6029
Manon Manor Mutual Water Company,69,93314,6029
Wegis Mutual Water Company,61,93314,6029
Mustang Mutual Water System,1171,93314,6029
Nord Road Water Association,1906,93314,6029
Heath Brimhall P.o.a.,60,93314,6029
Agape Mutual Water System,56,93314,6029
Kranenburg Water System,88,93314,6029
North Kranenburg Ws,88,93314,6029
Schweikart Water System,66,93314,6029
Edna Ranch Mutual Water Company-east,2054,93401,6079
Baron Canyon Mutual Water Company,0,93401,6079
Afuera De Chorro Water Company,734,93401,6079
Higuera Apartments,1914,93401,6079
Varian Ranch Mutual Water,910,93401,6079
Los Osos Community Services District,489,93402,6079
Morro Bay PW Department - Water Division,2127,93402,6079
S & T Mutual Water Company,365,93402,6079
Avila Valley Mutual Water Company,3,93405,6079
Irish Hills Mutual Water Co.,12,93405,6079
California Mens Colony,2100,93405,6079
Bassi Ranch Mutual Water Company,55,93405,6079
Bear Valley Water Company,421,93405,6079
San Miguelito Mutual Water Company,2381,93405,6079
Pismo Beach Water Department,2042,93405,6079
Avila Beach Community Services District,2329,93405,6079
San Luis Obispo Water Department,2161,93407,6079
Paso Robles Water Department,1889,93407,6079
Atascadero Mutual Water Company,2641,93407,6079
Arroyo GrandeWater Department,2302,93407,6079
Grover Beach Water Department,1320,93407,6079
Nipomo Comm. Services District,1982,93407,6079
Oceano Community Services District,1361,93407,6079
Monte Sereno Mutual Benefit Water,1444,93420,6079
Laguna Negra Mutual Water Company,112,93420,6079
Country Hills Estates,6013,93420,6079
Canyon Crest Mutual Benefit Water Company,3057,93420,6079
Mesa Dunes Mobile Home Estates,807,93420,6079
Terra De Oro Water Company,530,93420,6079
Halcyon Water System,226,93420,6079
Ken Mar Gardens,57,93420,6079
Garden Farms C.w.d.,582,93422,6079
Atascadero State Hospital,776,93422,6079
Templeton Community Services District,1502,93422,6079
Bradley-lockwood Rd. Ws,1137,93426,6053
Nacimiento Water Company,1614,93426,6053
North Shore Estates Ws,3,93426,6053
San Antonio Mobile Home Estates Ws,5,93426,6053
Paso Robles Beach Water Association,881,93430,6079
Slocsa #10a - Cayucos,944,93430,6079
Morro Rock Mutual Water Company,1032,93430,6079
Vandenberg Village Community Services District,947,93436,6083
Mission Hills Community Services District,554,93436,6083
Vista Hills Mutual Water Company,1499,93436,6083
Santa Rita Water Company,2353,93436,6083
Midland School Corporation,85,93441,6083
Rancho Ynecita Mutual Water Company,984,93441,6083
Rancho Colina Mobile Home Park,367,93442,6079
Woodlands Development,131,93444,6079
Rancho Nipomo Water Company,171,93444,6079
Rim Rock Water Company,6751,93444,6079
Heritage Ranch Community Services District,1372,93446,6079
Green River Mutual Water Company,414,93446,6079
Santa Ysabel Ranch Mutual Water Company,592,93446,6079
Almira Water Association,3375,93446,6079
Rancho Salinas Mbwc,766,93446,6079
Walnut Hills Mutual Water Company,576,93446,6079
Spanish Lakes Mutual Water Company,12,93446,6079
San Miguel Community Services District,2612,93446,6079
Los Robles Mobile Home Estates,1013,93446,6079
Mustang Springs Mutual Water,1,93446,6079
San Ardo Water District,96,93450,6053
Camp Roberts - California National Guard,1259,93451,6053
East Valley Farms Mutual Water,42,93454,6083
Sisquoc #1,259,93454,6083
Rolling Hills Water Association,351,93455,6083
Foster Road Mutual Water Company,133,93455,6083
Saint Marie Mobile Home Park,1154,93458,6083
Oak Trail Ranch Mutual Water,1591,93460,6083
Oak Trail Estates Mutual Water Company,1791,93460,6083
Santa Ynez Rancho Estates Mutual Water Company,1937,93460,6083
Meadowlark Ranches Mutual Water Company,4,93460,6083
Skyline Park & Service Company,740,93460,6083
Santa Ynez Roblar Mobile Home Park,57,93460,6083
Solvang Water Division,1357,93460,6083
Walking M Ranches Association,138,93463,6083
Rancho Marcelino Water & Serv.,751,93463,6083
Mesa Hills Mutual Water Company,100,93463,6083
City of California City,1905,93501,6029
Rosamond CSD,2636,93501,6029
Cws - Fremont Valley,178,93501,6029
Wonder Acres Water System,2241,93501,6029
William Fisher Memorial Water Company,5505,93501,6029
Rancho Seco Inc. Water System,1277,93501,6029
Palmdale Water District,1207,93510,6037
Birchim Community Service District,0,93512,6051
Bridgeport Public Utility District,5746,93512,6051
Crowley Lake Mutual Water District,19,93512,6051
Crowley Lake Trailer Park,3,93512,6051
June Lake Public Utility District - Down Canyon,1209,93512,6051
Lee Vining Public Utility,1,93512,6051
Lower Rock Creek Mutual Water Company,0,93512,6051
Lower Swall Meadows Water System,11,93512,6051
Lundy Mutual Water Company,1200,93512,6051
Mammoth County Water District,1330,93512,6051
Sierra East Mobile Home Community,9253,93512,6051
U.S. Marine Corps - Housing Coleville,1391,93512,6051
Ladwp - Big Pine,963,93513,6027
Big Pine Community Services District,969,93513,6027
Rolling Green Utilities Inc.,2,93513,6027
Ladwp - Independence,2,93513,6027
Pine Creek Village,75,93514,6051
Meadowcreek Mutual Water Company,441,93514,6051
Indian Creek Community Services District,71,93514,6051
Aspendell Mutual Water Company,1554,93514,6051
Starlite Community Service District,304,93514,6051
Cdf - Owens Valley Conservation Corporation,20,93514,6051
Sierra Grande Estates Mutual Water Company,16,93514,6051
Park West Mutual Water Company,130,93514,6051
Sce Bishop Creek Plant 4,11,93514,6051
Owens Valley Water Company,651,93514,6051
Valley Vista Mutual Water Company,578,93514,6051
Glenwood Mobile Estates,641,93514,6051
Wilson Circle Mutual Water Company,896,93514,6051
Control Gorge Power Plant,481,93514,6051
Ranch Road Estates Mutual Water Company,1,93514,6051
Rawson Creek Mutual Water Company,39,93514,6051
Sierra North Community Service District,18,93514,6051
Rocking K Ranch Estates Mutual Water Company,900,93514,6051
Van Loon Water Association,110,93514,6051
Sunland Village Mobile Home Park,15,93514,6051
Meadow Lake Apartments,3,93514,6051
Primrose Lane Apartments,19,93514,6051
Desert Lake Community Services District,9140,93516,6029
Boron Community Services District,10615,93516,6029
Edwards AFB - Main Base,2212,93523,6029
North Edwards Water District,8100,93523,6029
Edgemont Acres Mutual Water Company,1821,93523,6029
Fountain Trailer Park Water,8797,93523,6029
Aberdeen Water System,1,93526,6027
East Inyokern Mutual Water,378,93527,6107
Life Water Co-op,639,93527,6107
Owens Peak West,368,93527,6107
Owens Peak South,346,93527,6107
Sweet Water Co-op,125,93527,6107
South Desert Mutual Water Company,753,93527,6107
Hart Creek Estates Mutual Water Company,168,93531,6029
Hart Flat Bear Mutual Water,51,93531,6029
Lake Elizabeth Mutual Water Company,1844,93532,6037
The Painted Turtle Camp,23,93532,6037
West Valley County Water District,1408,93532,6037
White Fence Farms Mutual Water Company,5493,93534,6037
Antelope Park Mutual Water Company,515,93534,6037
Lancaster Water Company,565,93534,6037
The Village Mobile Home Park,11075,93534,6037
Landale Mutual Water Company,1698,93535,6037
Averydale Mutual Water Company,1594,93535,6037
Reesedale Mutual,277,93535,6037
Wilsona Gardens Mutual,707,93535,6037
Aqua J. Mutual Water Company,280,93535,6037
Evergreen Mutual Water Company,24,93535,6037
Colorado Mutual Water Company,214,93535,6037
Tierra Bonita Mutual Water,215,93535,6037
Californian Mobile Home Park,563,93535,6037
El Rancho Mobile Home Park,430,93535,6037
Golden Sands Mobile Home Park,1474,93535,6037
Terra Nova Mobile Home Park,1154,93535,6037
Clear Skies Mobile Home Ranch,610,93535,6037
Lancaster Park Mobile Home Park,4479,93535,6037
Quartz Hill Water District,3564,93536,6037
Land Project Mutual Water Company,3087,93536,6037
